volunteer_zip_code,voter_zip_code,messaged,not_messaged,all
07016,10006,0,1,1
07016,10007,0,2,2
07016,10016,0,1,1
07016,10018,0,2,2
07016,10023,0,1,1
07016,10024,0,1,1
07016,10025,0,2,2
07016,10028,0,1,1
07016,10033,0,3,3
07016,10109,0,1,1
07016,10128,0,1,1
07016,10171,0,1,1
07016,10579,0,1,1
07016,10601,0,1,1
07016,10994,0,1,1
07016,11218,0,1,1
07016,11221,0,1,1
07016,11226,0,1,1
07016,11230,0,1,1
07016,12469,0,1,1
07016,12801,0,1,1
07016,13902,0,2,2
07016,18436,0,2,2
07016,19101,0,1,1
07016,19102,0,2,2
07016,19103,0,3,3
07016,19422,0,1,1
07016,20151,0,1,1
07016,20851,0,1,1
07016,22308,0,1,1
07016,22311,0,2,2
07016,30189,0,1,1
07016,32043,0,1,1
07016,33433,0,1,1
07016,33607,0,1,1
07016,34786,0,1,1
07016,46236,0,1,1
07016,53704,0,2,2
07016,54945,0,2,2
07016,54977,0,1,1
07016,54990,0,1,1
07016,60062,0,1,1
07016,60302,0,1,1
07016,60660,0,2,2
07016,61820,0,1,1
07016,65084,0,1,1
07016,68102,0,1,1
07016,68142,0,1,1
07016,80026,0,1,1
07016,80537,0,1,1
07016,84065,0,1,1
07016,84088,0,2,2
07016,90232,0,1,1
07016,92009,0,2,2
07016,92688,0,1,1
07016,92869,0,1,1
07016,93720,0,1,1
07016,94110,0,1,1
07016,94303,0,1,1
07016,94611,0,1,1
07016,94947,0,1,1
07027,07027,1,3,4
07027,07081,0,2,2
07027,07083,0,2,2
07027,07102,0,2,2
07027,07201,0,1,1
07027,07731,0,2,2
07027,08754,0,2,2
07027,08807,0,1,1
07027,18107,0,1,1
07041,07016,0,1,1
07041,07018,0,1,1
07041,07030,0,1,1
07041,07041,0,1,1
07041,07481,0,1,1
07041,10003,0,2,2
07041,10011,0,1,1
07041,10012,0,1,1
07041,10019,0,1,1
07041,10034,0,1,1
07041,10576,0,1,1
07041,11215,0,1,1
07041,11232,0,1,1
07041,11704,0,1,1
07041,19103,0,1,1
07041,20818,0,1,1
07041,60660,0,2,2
07041,80305,0,1,1
07041,92677,0,1,1
07041,94952,0,1,1
07044,07039,0,2,2
07044,07044,0,3,3
07044,07068,0,2,2
07044,07104,0,2,2
07044,07901,0,2,2
07044,07936,0,2,2
07044,10001,0,4,4
07044,10022,0,1,1
07044,12198,0,1,1
07044,60018,0,1,1
07044,92121,0,4,4
07044,92129,0,2,2
07044,92130,0,97,97
07044,98021,0,2,2
07047,07047,0,2,2
07047,08102,0,6,6
07047,27708,0,3,3
07047,60642,0,2,2
07047,85226,0,2,2
07052,07020,0,1,1
07052,07030,0,1,1
07052,07042,0,1,1
07052,07043,0,2,2
07052,07044,0,1,1
07052,07050,0,1,1
07052,07052,0,2,2
07052,07078,0,1,1
07052,07079,0,2,2
07052,07920,0,2,2
07052,07921,0,1,1
