ZCTA5CE10,longt,lat
3246,-71.48,43.57
3249,-71.38,43.56
3251,-71.57,44.09
3253,-71.50,43.63
3254,-71.38,43.72
3255,-72.03,43.31
3256,-71.63,43.62
3257,-71.99,43.42
3258,-71.40,43.26
3259,-71.40,43.87
3260,-71.92,43.35
3261,-71.21,43.21
3262,-71.74,44.00
3263,-71.31,43.29
3264,-71.71,43.73
3266,-71.90,43.79
3268,-71.76,43.39
3269,-71.60,43.53
3273,-71.93,43.30
3275,-71.42,43.16
3276,-71.58,43.43
3278,-71.83,43.29
3279,-71.88,43.94
3280,-72.09,43.18
3281,-71.72,43.08
3282,-71.93,43.86
3284,-72.03,43.49
3285,-71.64,43.92
3287,-71.92,43.45
3290,-71.12,43.12
3291,-71.14,43.18
3293,-71.68,43.97
3301,-71.54,43.22
3303,-71.67,43.30
3304,-71.53,43.13
3307,-71.44,43.33
3431,-72.30,42.96
3440,-71.98,43.05
3441,-72.44,42.78
3442,-71.91,43.01
3443,-72.46,42.88
3444,-72.07,42.89
3445,-72.21,43.01
3446,-72.30,42.86
3447,-72.15,42.76
3448,-72.27,43.04
3449,-72.00,42.98
3450,-72.09,42.94
3451,-72.50,42.81
3452,-72.06,42.83
3455,-72.18,42.90
3456,-72.22,43.13
3457,-72.12,43.00
3458,-71.94,42.87
3461,-72.01,42.75
3462,-72.40,42.90
3464,-72.11,43.08
3465,-72.19,42.83
3466,-72.51,42.90
3467,-72.43,42.97
3470,-72.34,42.78
3561,-71.81,44.33
3570,-71.16,44.50
3574,-71.60,44.25
3575,-71.42,44.30
3576,-71.38,44.92
3579,-71.03,44.97
3580,-71.70,44.17
3581,-71.13,44.34
3582,-71.44,44.60
3583,-71.46,44.40
3584,-71.55,44.48
3585,-71.89,44.22
3586,-71.80,44.22
3588,-71.21,44.61
3590,-71.52,44.75
3592,-71.26,45.12
3593,-71.30,44.32
3595,-71.53,44.31
3597,-71.39,44.74
3598,-71.63,44.38
3601,-72.30,43.23
3602,-72.33,43.13
3603,-72.38,43.25
3604,-72.38,43.13
3605,-72.18,43.23
3607,-72.27,43.20
3608,-72.41,43.07
3609,-72.45,43.14
3740,-71.98,44.18
3741,-72.02,43.67
3743,-72.33,43.36
3745,-72.33,43.47
3746,-72.26,43.49
3748,-72.11,43.59
3750,-72.20,43.71
3751,-72.09,43.45
3752,-72.12,43.29
3753,-72.15,43.52
3754,-72.14,43.38
3755,-72.19,43.72
3765,-72.05,44.03
3766,-72.24,43.63
3768,-72.12,43.81
3770,-72.27,43.53
3771,-72.01,44.29
3773,-72.20,43.39
3774,-72.00,44.09
3777,-72.07,43.90
3779,-72.03,43.97
3780,-71.98,44.03
3781,-72.28,43.55
3782,-72.09,43.39
3784,-72.31,43.64
3785,-71.89,44.06
3801,-70.81,43.07
3809,-71.21,43.45
3810,-71.28,43.53
3811,-71.16,42.84
3812,-71.29,44.08
3813,-71.05,44.10
3814,-71.18,43.77
3816,-71.26,43.68
3817,-71.23,43.89
3818,-71.25,43.97
3819,-71.12,42.93
3820,-70.89,43.19
3823,-70.94,43.17
3824,-70.92,43.12
3825,-71.04,43.21
3826,-71.13,42.89
3827,-70.99,42.91
3830,-71.00,43.63
3832,-71.05,43.90
3833,-70.99,42.97
3835,-71.08,43.36
3836,-71.07,43.83
3837,-71.33,43.42
3838,-71.24,44.11
3839,-70.98,43.26
3840,-70.85,43.04
3841,-71.18,42.88
3842,-70.84,42.94
3844,-70.89,42.93
3845,-71.13,44.11
3846,-71.19,44.19
3847,-71.11,44.07
3848,-71.07,42.92
3849,-71.13,43.90
3850,-71.30,43.69
3851,-71.02,43.44
3852,-70.98,43.50
3853,-71.28,43.64
3854,-70.72,43.06
3855,-71.14,43.46
3856,-70.97,43.04
3857,-70.95,43.07
3858,-71.04,42.87
3860,-71.12,44.04
3861,-71.01,43.12
3862,-70.83,42.98
3864,-71.11,43.69
3865,-71.10,42.84
3867,-70.99,43.30
3868,-70.94,43.32
3869,-70.84,43.22
3870,-70.76,43.02
3871,-70.77,42.98
3872,-71.04,43.57
