statetownid,x,y,pc11_state_id,pc11_town_id,polemp_all,emp_all,polemp_051,polemp_052,polemp_061,polemp_062,polemp_071,polemp_072,polemp_081,polemp_089,polemp_091,polemp_099,polemp_101,polemp_104,polemp_105,polemp_106,polemp_110,polemp_120,polemp_131,polemp_139,polemp_141,polemp_151,polemp_170,polemp_191,polemp_192,polemp_201,polemp_202,polemp_203,polemp_210,polemp_221,polemp_222,polemp_231,polemp_239,polemp_241,polemp_242,polemp_243,polemp_251,polemp_252,polemp_259,polemp_261,polemp_262,polemp_263,polemp_264,polemp_266,polemp_271,polemp_272,polemp_273,polemp_274,polemp_275,polemp_279,polemp_281,polemp_282,polemp_291,polemp_292,polemp_293,polemp_302,polemp_303,polemp_304,polemp_309,polemp_325,polemp_351,polemp_352
1800017,74.56165679,33.97378184,1,800017,101,1243,0,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,2,0,50,0,0,0,0,0,0,0,0,8,0,0,0,2,0,3,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1800018,74.67659354,33.93957765,1,800018,31,446,0,0,0,0,0,0,0,0,0,0,6,0,1,1,9,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1800019,74.76822707,34.00547851,1,800019,269,2927,0,0,0,0,0,0,0,0,0,0,8,1,2,17,0,0,51,0,105,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,26,9
1800020,74.81350808,33.94597774,1,800020,266,1886,0,0,57,2,0,0,0,0,0,4,20,2,8,4,2,0,27,3,71,1,0,0,0,0,0,0,0,0,0,1,0,2,14,17,0,1,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1800021,74.79788446,33.89225543,1,800021,174,1393,0,0,0,0,0,0,0,0,0,0,15,1,0,0,2,0,71,0,32,0,0,0,0,0,0,0,0,0,0,0,35,0,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
1800022,74.93321214,34.00463362,1,800022,233,3328,0,0,0,0,0,0,0,0,0,0,20,0,0,8,0,0,1,1,131,0,0,0,0,0,0,0,0,3,0,0,35,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,0
1800023,75.01608244,34.02018635,1,800023,28,798,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,13,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800024,75.02454041,33.92624481,1,800024,105,1983,2,0,0,0,0,0,11,0,0,0,2,0,0,16,0,0,2,0,34,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1800025,75.11794965,33.92276493,1,800025,197,2474,0,0,0,0,0,0,0,0,0,0,3,3,4,3,0,0,2,0,81,4,0,0,0,0,0,0,0,0,0,0,26,0,0,0,22,0,19,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
1800026,74.90978042,33.87679929,1,800026,372,4942,0,0,0,0,0,0,0,0,0,0,2,0,1,16,2,2,6,4,170,0,0,2,0,0,0,0,0,1,0,0,18,0,0,5,48,0,63,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,9,11
1800027,74.83943224,33.71999379,1,800027,219,3462,0,0,0,0,0,0,0,0,0,0,38,0,4,0,0,3,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
1800028,75.31848293,34.03489744,1,800028,72,2369,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
1800029,75.27354126,33.86082628,1,800029,176,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
1800030,75.11467055,33.77973215,1,800030,487,3756,0,0,0,0,0,0,44,0,0,0,12,0,3,13,1,1,3,69,145,0,34,0,0,0,0,0,2,0,0,0,8,0,1,1,42,0,25,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,74,0
1800031,75.05094755,33.79599488,1,800031,139,1570,0,0,0,0,0,0,7,0,0,0,2,0,1,18,0,0,0,30,36,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,34,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800032,75.20464646,33.76448248,1,800032,94,1278,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,41,30,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800033,75.1586204,33.73342395,1,800033,2021,20260,0,0,0,0,0,0,96,0,0,0,8,0,0,72,48,30,15,535,635,0,2,0,2,0,4,0,0,0,3,0,199,0,0,28,229,0,57,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,39,1
1800034,75.22468907,33.68723371,1,800034,203,1763,0,0,0,0,0,0,0,0,0,0,1,0,15,9,5,0,0,64,73,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
1800035,75.23904474,33.78592974,1,800035,57,759,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800036,75.2790078,33.69240204,1,800036,98,801,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,1,0,27,31,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800037,75.30397189,33.56637757,1,800037,49,783,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1800038,75.16880311,33.59213488,1,800038,108,2094,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,2,42,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1800039,75.22577631,33.5532376,1,800039,365,2886,0,0,0,0,0,0,1,0,0,0,1,0,6,25,0,0,0,178,95,2,0,0,0,0,0,0,0,0,6,0,17,0,0,0,16,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1800040,75.01209909,33.65442395,1,800040,324,2924,0,0,0,0,0,0,0,0,0,0,0,0,114,23,0,1,19,0,93,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,41,3,1,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
1800041,75.06398058,33.72753148,1,800041,150,2045,0,0,0,0,0,0,10,0,0,1,0,0,1,25,0,0,3,0,64,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2
1800042,75.02930625,33.76153728,1,800042,54,634,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,18,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1800043,75.0105687,33.73309964,1,800043,126,1733,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,20,0,59,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9
