"statetownid","x","y","pc11_state_id","pc11_town_id","polemp_all","emp_all","polemp_051","polemp_052","polemp_061","polemp_062","polemp_071","polemp_072","polemp_081","polemp_089","polemp_091","polemp_099","polemp_101","polemp_104","polemp_105","polemp_106","polemp_110","polemp_120","polemp_131","polemp_139","polemp_141","polemp_151","polemp_170","polemp_191","polemp_192","polemp_201","polemp_202","polemp_203","polemp_210","polemp_221","polemp_222","polemp_231","polemp_239","polemp_241","polemp_242","polemp_243","polemp_251","polemp_252","polemp_259","polemp_261","polemp_262","polemp_263","polemp_264","polemp_266","polemp_271","polemp_272","polemp_273","polemp_274","polemp_275","polemp_279","polemp_281","polemp_282","polemp_291","polemp_292","polemp_293","polemp_302","polemp_303","polemp_304","polemp_309","polemp_325","polemp_351","polemp_352"
"01800017",74.5616567921976,33.973781839562,"01","800017",101,1243,0,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,2,0,50,0,0,0,0,0,0,0,0,8,0,0,0,2,0,3,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"01800018",74.6765935358292,33.939577648568,"01","800018",31,446,0,0,0,0,0,0,0,0,0,0,6,0,1,1,9,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"01800019",74.7682270745842,34.0054785133393,"01","800019",269,2927,0,0,0,0,0,0,0,0,0,0,8,1,2,17,0,0,51,0,105,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,26,9
"01800020",74.8135080791208,33.9459777432206,"01","800020",266,1886,0,0,57,2,0,0,0,0,0,4,20,2,8,4,2,0,27,3,71,1,0,0,0,0,0,0,0,0,0,1,0,2,14,17,0,1,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"01800021",74.7978844616164,33.8922554293949,"01","800021",174,1393,0,0,0,0,0,0,0,0,0,0,15,1,0,0,2,0,71,0,32,0,0,0,0,0,0,0,0,0,0,0,35,0,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
"01800022",74.9332121438743,34.0046336216205,"01","800022",233,3328,0,0,0,0,0,0,0,0,0,0,20,0,0,8,0,0,1,1,131,0,0,0,0,0,0,0,0,3,0,0,35,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,0
"01800023",75.0160824418225,34.0201863535096,"01","800023",28,798,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,13,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01800024",75.0245404066873,33.9262448087218,"01","800024",105,1983,2,0,0,0,0,0,11,0,0,0,2,0,0,16,0,0,2,0,34,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"01800025",75.1179496539543,33.922764929504,"01","800025",197,2474,0,0,0,0,0,0,0,0,0,0,3,3,4,3,0,0,2,0,81,4,0,0,0,0,0,0,0,0,0,0,26,0,0,0,22,0,19,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"01800026",74.9097804163349,33.8767992855644,"01","800026",372,4942,0,0,0,0,0,0,0,0,0,0,2,0,1,16,2,2,6,4,170,0,0,2,0,0,0,0,0,1,0,0,18,0,0,5,48,0,63,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,9,11
