id,state,district,x,y
3515,Gujarat,Surat,73.3594,21.19948
3516,Gujarat,Surendranagar,71.548,22.84332
3517,Gujarat,The Dangs (Ahwa),73.73927,20.76011
3518,Gujarat,Vadodara,73.56211,22.21733
3519,Gujarat,Valsad,73.11869,20.56278
3601,Haryana,Ambala,77.13764,30.35027
3604,Haryana,Gurgaon,77.23739,28.09199
3605,Haryana,Hissar,75.63662,29.2221
3606,Haryana,Jind,76.43532,29.4263
3607,Haryana,Karnal,76.85161,29.72223
3609,Haryana,Mahendragarh,76.38243,28.23275
3610,Haryana,Rohtak,76.76525,28.74308
3701,Himachal Pradesh,Bilaspur,76.73203,31.3261
3702,Himachal Pradesh,Chamba,76.41704,32.6499
3704,Himachal Pradesh,Kangra,76.4015,31.92973
3705,Himachal Pradesh,Kinnaur,78.40835,31.61001
3706,Himachal Pradesh,Kullu,77.44077,31.88627
3707,Himachal Pradesh,Lahul and Spiti,77.60424,32.4786
3708,Himachal Pradesh,Mandi,77.06013,31.59438
3709,Himachal Pradesh,Shimla,77.69617,31.17549
3710,Himachal Pradesh,Sirmaur (Nahan),77.4703,30.63696
3711,Himachal Pradesh,Solan,77.00816,31.0031
3801,Jammu and Kashmir,Gilgit,74.29764,36.37416
3802,Jammu and Kashmir,Chilas,74.31645,35.41652
3803,Jammu and Kashmir,Kupwara (Gilgit Wazarat),74.9979,35.27891
3804,Jammu and Kashmir,Kupwara (Muzaffarabad),74.0696,34.56405
3805,Jammu and Kashmir,Baramula (Kashmir North),74.79826,34.52916
3806,Jammu and Kashmir,Anantnag (Kashmir South),75.33209,33.8039
3807,Jammu and Kashmir,Punch,74.11774,33.82094
3808,Jammu and Kashmir,Mirpur,74.06938,33.23358
3809,Jammu and Kashmir,Rajauri,74.829,33.25156
3810,Jammu and Kashmir,Jammu,74.94875,32.71635
3811,Jammu and Kashmir,Kathua,75.64308,32.54344
3812,Jammu and Kashmir,Udhampur,75.45101,33.03798
3814,Jammu and Kashmir,Gilgit (Tribal Territory),73.6961,35.75805
3815,Jammu and Kashmir,Doda,76.04097,33.45771
3816,Jammu and Kashmir,Kargil,76.11595,34.61866
3817,Jammu and Kashmir,Srinagar,75.1026,34.24555
3818,Jammu and Kashmir,Pulwama,75.02159,33.8398
3819,Jammu and Kashmir,Bagdam,74.78824,33.94545
3901,Karnataka,Bangalore,77.53347,12.84231
3902,Karnataka,Belgaum,74.8139,16.07593
3903,Karnataka,Bellary,76.46437,14.96435
3904,Karnataka,Bidar,77.26767,17.8948
3905,Karnataka,Bijapur,75.88293,16.51645
3906,Karnataka,Chikmagalur,75.73339,13.38902
3907,Karnataka,Chitradurga,76.42682,14.14221
